pygame 1.9.6
Hello from the pygame community. https://www.pygame.org/contribute.html
c000  4c f5 c5   JMP $c5f5   A:00 X:00 Y:00 P:24 SP:fd CYC:7
c761  4c 68 c7   JMP $c768   A:40 X:00 Y:00 P:24 SP:fb CYC:72
c768  ea         NOP         A:40 X:00 Y:00 P:24 SP:fb CYC:75
c769  a9 40      LDA #$40    A:40 X:00 Y:00 P:24 SP:fb CYC:77
c76b  d0 04      BNE $c771   A:40 X:00 Y:00 P:24 SP:fb CYC:79
c771  ea         NOP         A:40 X:00 Y:00 P:24 SP:fb CYC:82
c772  a9 00      LDA #$00    A:40 X:00 Y:00 P:24 SP:fb CYC:84
c774  d0 03      BNE $c779   A:00 X:00 Y:00 P:26 SP:fb CYC:86
c776  4c 7d c7   JMP $c77d   A:00 X:00 Y:00 P:26 SP:fb CYC:88
c77d  ea         NOP         A:00 X:00 Y:00 P:26 SP:fb CYC:91
c77e  a9 ff      LDA #$ff    A:00 X:00 Y:00 P:26 SP:fb CYC:93
c780  85 01      STA $01     A:ff X:00 Y:00 P:a4 SP:fb CYC:95
c782  24 01      BIT $01     A:ff X:00 Y:00 P:a4 SP:fb CYC:98
c784  70 04      BVS $c78a   A:ff X:00 Y:00 P:e4 SP:fb CYC:101
c78a  ea         NOP         A:ff X:00 Y:00 P:e4 SP:fb CYC:104
c78b  24 01      BIT $01     A:ff X:00 Y:00 P:e4 SP:fb CYC:106
c78d  50 03      BVC $c792   A:ff X:00 Y:00 P:e4 SP:fb CYC:109
c78f  4c 96 c7   JMP $c796   A:ff X:00 Y:00 P:e4 SP:fb CYC:111
c796  ea         NOP         A:ff X:00 Y:00 P:e4 SP:fb CYC:114
c797  a9 00      LDA #$00    A:ff X:00 Y:00 P:e4 SP:fb CYC:116
c799  85 01      STA $01     A:00 X:00 Y:00 P:66 SP:fb CYC:118
c79b  24 01      BIT $01     A:00 X:00 Y:00 P:66 SP:fb CYC:121
c79d  50 04      BVC $c7a3   A:00 X:00 Y:00 P:26 SP:fb CYC:124
c7a3  ea         NOP         A:00 X:00 Y:00 P:26 SP:fb CYC:127
c7a4  24 01      BIT $01     A:00 X:00 Y:00 P:26 SP:fb CYC:129
c7a6  70 03      BVS $c7ab   A:00 X:00 Y:00 P:26 SP:fb CYC:132
c7a8  4c af c7   JMP $c7af   A:00 X:00 Y:00 P:26 SP:fb CYC:134
c7af  ea         NOP         A:00 X:00 Y:00 P:26 SP:fb CYC:137
c7b0  a9 00      LDA #$00    A:00 X:00 Y:00 P:26 SP:fb CYC:139
c7b2  10 04      BPL $c7b8   A:00 X:00 Y:00 P:26 SP:fb CYC:141
c7b8  ea         NOP         A:00 X:00 Y:00 P:26 SP:fb CYC:144
c7b9  a9 80      LDA #$80    A:00 X:00 Y:00 P:26 SP:fb CYC:146
c7bb  10 03      BPL $c7c0   A:80 X:00 Y:00 P:a4 SP:fb CYC:148
c7bd  4c d9 c7   JMP $c7d9   A:80 X:00 Y:00 P:a4 SP:fb CYC:150
c7d9  ea         NOP         A:80 X:00 Y:00 P:a4 SP:fb CYC:153
c7da  60         RTS         A:80 X:00 Y:00 P:a4 SP:fb CYC:155
c600  20 db c7   JSR $c7db   A:80 X:00 Y:00 P:a4 SP:fd CYC:161
c7db  ea         NOP         A:80 X:00 Y:00 P:a4 SP:fb CYC:167
c7dc  a9 ff      LDA #$ff    A:80 X:00 Y:00 P:a4 SP:fb CYC:169
c7de  85 01      STA $01     A:ff X:00 Y:00 P:a4 SP:fb CYC:171
c7e0  24 01      BIT $01     A:ff X:00 Y:00 P:a4 SP:fb CYC:174
c7e2  a9 00      LDA #$00    A:ff X:00 Y:00 P:e4 SP:fb CYC:177
c7e4  38         SEC         A:00 X:00 Y:00 P:66 SP:fb CYC:179
c7e5  78         SEI         A:00 X:00 Y:00 P:67 SP:fb CYC:181
c7e6  f8         SED         A:00 X:00 Y:00 P:67 SP:fb CYC:183
c7e7  08         PHP         A:00 X:00 Y:00 P:6f SP:fb CYC:185
c7e8  68         PLA         A:00 X:00 Y:00 P:6f SP:fa CYC:188
c7e9  29 ef      AND #$ef    A:7f X:00 Y:00 P:6d SP:fb CYC:192
c7eb  c9 6f      CMP #$6f    A:6f X:00 Y:00 P:6d SP:fb CYC:194
c7ed  f0 04      BEQ $c7f3   A:6f X:00 Y:00 P:6f SP:fb CYC:196
c7f3  ea         NOP         A:6f X:00 Y:00 P:6f SP:fb CYC:199
c7f4  a9 40      LDA #$40    A:6f X:00 Y:00 P:6f SP:fb CYC:201
c7f6  85 01      STA $01     A:40 X:00 Y:00 P:6d SP:fb CYC:203
c7f8  24 01      BIT $01     A:40 X:00 Y:00 P:6d SP:fb CYC:206
c7fa  d8         CLD         A:40 X:00 Y:00 P:6d SP:fb CYC:209
c7fb  a9 10      LDA #$10    A:40 X:00 Y:00 P:65 SP:fb CYC:211
c7fd  18         CLC         A:10 X:00 Y:00 P:65 SP:fb CYC:213
c7fe  08         PHP         A:10 X:00 Y:00 P:64 SP:fb CYC:215
c7ff  68         PLA         A:10 X:00 Y:00 P:64 SP:fa CYC:218
c800  29 ef      AND #$ef    A:74 X:00 Y:00 P:64 SP:fb CYC:222
c802  c9 64      CMP #$64    A:64 X:00 Y:00 P:64 SP:fb CYC:224
c804  f0 04      BEQ $c80a   A:64 X:00 Y:00 P:67 SP:fb CYC:226
c80a  ea         NOP         A:64 X:00 Y:00 P:67 SP:fb CYC:229
c80b  a9 80      LDA #$80    A:64 X:00 Y:00 P:67 SP:fb CYC:231
c80d  85 01      STA $01     A:80 X:00 Y:00 P:e5 SP:fb CYC:233
c80f  24 01      BIT $01     A:80 X:00 Y:00 P:e5 SP:fb CYC:236
c811  f8         SED         A:80 X:00 Y:00 P:a5 SP:fb CYC:239
c812  a9 00      LDA #$00    A:80 X:00 Y:00 P:ad SP:fb CYC:241
c814  38         SEC         A:00 X:00 Y:00 P:2f SP:fb CYC:243
c815  08         PHP         A:00 X:00 Y:00 P:2f SP:fb CYC:245
c816  68         PLA         A:00 X:00 Y:00 P:2f SP:fa CYC:248
c817  29 ef      AND #$ef    A:3f X:00 Y:00 P:2d SP:fb CYC:252
c819  c9 2f      CMP #$2f    A:2f X:00 Y:00 P:2d SP:fb CYC:254
c81b  f0 04      BEQ $c821   A:2f X:00 Y:00 P:2f SP:fb CYC:256
c821  ea         NOP         A:2f X:00 Y:00 P:2f SP:fb CYC:259
c822  a9 ff      LDA #$ff    A:2f X:00 Y:00 P:2f SP:fb CYC:261
c824  48         PHA         A:ff X:00 Y:00 P:ad SP:fb CYC:263
c825  28         PLP         A:ff X:00 Y:00 P:ad SP:fa CYC:266
c826  d0 09      BNE $c831   A:ff X:00 Y:00 P:ef SP:fb CYC:270
c828  10 07      BPL $c831   A:ff X:00 Y:00 P:ef SP:fb CYC:272
c82a  50 05      BVC $c831   A:ff X:00 Y:00 P:ef SP:fb CYC:274
c82c  90 03      BCC $c831   A:ff X:00 Y:00 P:ef SP:fb CYC:276
c82e  4c 35 c8   JMP $c835   A:ff X:00 Y:00 P:ef SP:fb CYC:278
c835  ea         NOP         A:ff X:00 Y:00 P:ef SP:fb CYC:281
c836  a9 04      LDA #$04    A:ff X:00 Y:00 P:ef SP:fb CYC:283
c838  48         PHA         A:04 X:00 Y:00 P:6d SP:fb CYC:285
c839  28         PLP         A:04 X:00 Y:00 P:6d SP:fa CYC:288
c83a  f0 09      BEQ $c845   A:04 X:00 Y:00 P:24 SP:fb CYC:292
c83c  30 07      BMI $c845   A:04 X:00 Y:00 P:24 SP:fb CYC:294
c83e  70 05      BVS $c845   A:04 X:00 Y:00 P:24 SP:fb CYC:296
c840  b0 03      BCS $c845   A:04 X:00 Y:00 P:24 SP:fb CYC:298
c842  4c 49 c8   JMP $c849   A:04 X:00 Y:00 P:24 SP:fb CYC:300
c849  ea         NOP         A:04 X:00 Y:00 P:24 SP:fb CYC:303
c84a  f8         SED         A:04 X:00 Y:00 P:24 SP:fb CYC:305
c84b  a9 ff      LDA #$ff    A:04 X:00 Y:00 P:2c SP:fb CYC:307
c84d  85 01      STA $01     A:ff X:00 Y:00 P:ac SP:fb CYC:309
c84f  24 01      BIT $01     A:ff X:00 Y:00 P:ac SP:fb CYC:312
c851  18         CLC         A:ff X:00 Y:00 P:ec SP:fb CYC:315
c852  a9 00      LDA #$00    A:ff X:00 Y:00 P:ec SP:fb CYC:317
c854  48         PHA         A:00 X:00 Y:00 P:6e SP:fb CYC:319
c855  a9 ff      LDA #$ff    A:00 X:00 Y:00 P:6e SP:fa CYC:322
c857  68         PLA         A:ff X:00 Y:00 P:ec SP:fa CYC:324
c858  d0 09      BNE $c863   A:00 X:00 Y:00 P:6e SP:fb CYC:328
c85a  30 07      BMI $c863   A:00 X:00 Y:00 P:6e SP:fb CYC:330
c85c  50 05      BVC $c863   A:00 X:00 Y:00 P:6e SP:fb CYC:332
c85e  b0 03      BCS $c863   A:00 X:00 Y:00 P:6e SP:fb CYC:334
c860  4c 67 c8   JMP $c867   A:00 X:00 Y:00 P:6e SP:fb CYC:336
c867  ea         NOP         A:00 X:00 Y:00 P:6e SP:fb CYC:339
c868  a9 00      LDA #$00    A:00 X:00 Y:00 P:6e SP:fb CYC:341
c86a  85 01      STA $01     A:00 X:00 Y:00 P:6e SP:fb CYC:343
c86c  24 01      BIT $01     A:00 X:00 Y:00 P:6e SP:fb CYC:346
c86e  38         SEC         A:00 X:00 Y:00 P:2e SP:fb CYC:349
c86f  a9 ff      LDA #$ff    A:00 X:00 Y:00 P:2f SP:fb CYC:351
c871  48         PHA         A:ff X:00 Y:00 P:ad SP:fb CYC:353
c872  a9 00      LDA #$00    A:ff X:00 Y:00 P:ad SP:fa CYC:356
c874  68         PLA         A:00 X:00 Y:00 P:2f SP:fa CYC:358
c875  f0 09      BEQ $c880   A:ff X:00 Y:00 P:ad SP:fb CYC:362
c877  10 07      BPL $c880   A:ff X:00 Y:00 P:ad SP:fb CYC:364
c879  70 05      BVS $c880   A:ff X:00 Y:00 P:ad SP:fb CYC:366
c87b  90 03      BCC $c880   A:ff X:00 Y:00 P:ad SP:fb CYC:368
c87d  4c 84 c8   JMP $c884   A:ff X:00 Y:00 P:ad SP:fb CYC:370
c884  60         RTS         A:ff X:00 Y:00 P:ad SP:fb CYC:373
c603  20 85 c8   JSR $c885   A:ff X:00 Y:00 P:ad SP:fd CYC:379
c885  ea         NOP         A:ff X:00 Y:00 P:ad SP:fb CYC:385
c886  18         CLC         A:ff X:00 Y:00 P:ad SP:fb CYC:387
c887  a9 ff      LDA #$ff    A:ff X:00 Y:00 P:ac SP:fb CYC:389
c889  85 01      STA $01     A:ff X:00 Y:00 P:ac SP:fb CYC:391
c88b  24 01      BIT $01     A:ff X:00 Y:00 P:ac SP:fb CYC:394
c88d  a9 55      LDA #$55    A:ff X:00 Y:00 P:ec SP:fb CYC:397
c88f  09 aa      ORA #$aa    A:55 X:00 Y:00 P:6c SP:fb CYC:399
c891  b0 0b      BCS $c89e   A:ff X:00 Y:00 P:ec SP:fb CYC:401
c893  10 09      BPL $c89e   A:ff X:00 Y:00 P:ec SP:fb CYC:403
c895  c9 ff      CMP #$ff    A:ff X:00 Y:00 P:ec SP:fb CYC:405
c897  d0 05      BNE $c89e   A:ff X:00 Y:00 P:6f SP:fb CYC:407
c899  50 03      BVC $c89e   A:ff X:00 Y:00 P:6f SP:fb CYC:409
c89b  4c a2 c8   JMP $c8a2   A:ff X:00 Y:00 P:6f SP:fb CYC:411
c8a2  ea         NOP         A:ff X:00 Y:00 P:6f SP:fb CYC:414
c8a3  38         SEC         A:ff X:00 Y:00 P:6f SP:fb CYC:416
c8a4  b8         CLV         A:ff X:00 Y:00 P:6f SP:fb CYC:418
c8a5  a9 00      LDA #$00    A:ff X:00 Y:00 P:2f SP:fb CYC:420
c8a7  09 00      ORA #$00    A:00 X:00 Y:00 P:2f SP:fb CYC:422
c8a9  d0 09      BNE $c8b4   A:00 X:00 Y:00 P:2f SP:fb CYC:424
c8ab  70 07      BVS $c8b4   A:00 X:00 Y:00 P:2f SP:fb CYC:426
c8ad  90 05      BCC $c8b4   A:00 X:00 Y:00 P:2f SP:fb CYC:428
c8af  30 03      BMI $c8b4   A:00 X:00 Y:00 P:2f SP:fb CYC:430
c8b1  4c b8 c8   JMP $c8b8   A:00 X:00 Y:00 P:2f SP:fb CYC:432
c8b8  ea         NOP         A:00 X:00 Y:00 P:2f SP:fb CYC:435
c8b9  18         CLC         A:00 X:00 Y:00 P:2f SP:fb CYC:437
c8ba  24 01      BIT $01     A:00 X:00 Y:00 P:2e SP:fb CYC:439
c8bc  a9 55      LDA #$55    A:00 X:00 Y:00 P:ee SP:fb CYC:442
c8be  29 aa      AND #$aa    A:55 X:00 Y:00 P:6c SP:fb CYC:444
c8c0  d0 09      BNE $c8cb   A:00 X:00 Y:00 P:6e SP:fb CYC:446
c8c2  50 07      BVC $c8cb   A:00 X:00 Y:00 P:6e SP:fb CYC:448
c8c4  b0 05      BCS $c8cb   A:00 X:00 Y:00 P:6e SP:fb CYC:450
c8c6  30 03      BMI $c8cb   A:00 X:00 Y:00 P:6e SP:fb CYC:452
c8c8  4c cf c8   JMP $c8cf   A:00 X:00 Y:00 P:6e SP:fb CYC:454
c8cf  ea         NOP         A:00 X:00 Y:00 P:6e SP:fb CYC:457
c8d0  38         SEC         A:00 X:00 Y:00 P:6e SP:fb CYC:459
c8d1  b8         CLV         A:00 X:00 Y:00 P:6f SP:fb CYC:461
c8d2  a9 f8      LDA #$f8    A:00 X:00 Y:00 P:2f SP:fb CYC:463
c8d4  29 ef      AND #$ef    A:f8 X:00 Y:00 P:ad SP:fb CYC:465
c8d6  90 0b      BCC $c8e3   A:e8 X:00 Y:00 P:ad SP:fb CYC:467
c8d8  10 09      BPL $c8e3   A:e8 X:00 Y:00 P:ad SP:fb CYC:469
c8da  c9 e8      CMP #$e8    A:e8 X:00 Y:00 P:ad SP:fb CYC:471
c8dc  d0 05      BNE $c8e3   A:e8 X:00 Y:00 P:2f SP:fb CYC:473
c8de  70 03      BVS $c8e3   A:e8 X:00 Y:00 P:2f SP:fb CYC:475
c8e0  4c e7 c8   JMP $c8e7   A:e8 X:00 Y:00 P:2f SP:fb CYC:477
c8e7  ea         NOP         A:e8 X:00 Y:00 P:2f SP:fb CYC:480
c8e8  18         CLC         A:e8 X:00 Y:00 P:2f SP:fb CYC:482
c8e9  24 01      BIT $01     A:e8 X:00 Y:00 P:2e SP:fb CYC:484
c8eb  a9 5f      LDA #$5f    A:e8 X:00 Y:00 P:ec SP:fb CYC:487
c8ed  49 aa      EOR #$aa    A:5f X:00 Y:00 P:6c SP:fb CYC:489
c8ef  b0 0b      BCS $c8fc   A:f5 X:00 Y:00 P:ec SP:fb CYC:491
c8f1  10 09      BPL $c8fc   A:f5 X:00 Y:00 P:ec SP:fb CYC:493
c8f3  c9 f5      CMP #$f5    A:f5 X:00 Y:00 P:ec SP:fb CYC:495
c8f5  d0 05      BNE $c8fc   A:f5 X:00 Y:00 P:6f SP:fb CYC:497
c8f7  50 03      BVC $c8fc   A:f5 X:00 Y:00 P:6f SP:fb CYC:499
c8f9  4c 00 c9   JMP $c900   A:f5 X:00 Y:00 P:6f SP:fb CYC:501
c900  ea         NOP         A:f5 X:00 Y:00 P:6f SP:fb CYC:504
c901  38         SEC         A:f5 X:00 Y:00 P:6f SP:fb CYC:506
c902  b8         CLV         A:f5 X:00 Y:00 P:6f SP:fb CYC:508
c903  a9 70      LDA #$70    A:f5 X:00 Y:00 P:2f SP:fb CYC:510
c905  49 70      EOR #$70    A:70 X:00 Y:00 P:2d SP:fb CYC:512
c907  d0 09      BNE $c912   A:00 X:00 Y:00 P:2f SP:fb CYC:514
c909  70 07      BVS $c912   A:00 X:00 Y:00 P:2f SP:fb CYC:516
c90b  90 05      BCC $c912   A:00 X:00 Y:00 P:2f SP:fb CYC:518
c90d  30 03      BMI $c912   A:00 X:00 Y:00 P:2f SP:fb CYC:520
c90f  4c 16 c9   JMP $c916   A:00 X:00 Y:00 P:2f SP:fb CYC:522
c916  ea         NOP         A:00 X:00 Y:00 P:2f SP:fb CYC:525
c917  18         CLC         A:00 X:00 Y:00 P:2f SP:fb CYC:527
c918  24 01      BIT $01     A:00 X:00 Y:00 P:2e SP:fb CYC:529
c91a  a9 00      LDA #$00    A:00 X:00 Y:00 P:ee SP:fb CYC:532
c91c  69 69      ADC #$69    A:00 X:00 Y:00 P:6e SP:fb CYC:534
c91e  30 0b      BMI $c92b   A:69 X:00 Y:00 P:2c SP:fb CYC:536
c920  b0 09      BCS $c92b   A:69 X:00 Y:00 P:2c SP:fb CYC:538
c922  c9 69      CMP #$69    A:69 X:00 Y:00 P:2c SP:fb CYC:540
c924  d0 05      BNE $c92b   A:69 X:00 Y:00 P:2f SP:fb CYC:542
c926  70 03      BVS $c92b   A:69 X:00 Y:00 P:2f SP:fb CYC:544
c928  4c 2f c9   JMP $c92f   A:69 X:00 Y:00 P:2f SP:fb CYC:546
c92f  ea         NOP         A:69 X:00 Y:00 P:2f SP:fb CYC:549
c930  38         SEC         A:69 X:00 Y:00 P:2f SP:fb CYC:551
c931  f8         SED         A:69 X:00 Y:00 P:2f SP:fb CYC:553
c932  24 01      BIT $01     A:69 X:00 Y:00 P:2f SP:fb CYC:555
c934  a9 01      LDA #$01    A:69 X:00 Y:00 P:ed SP:fb CYC:558
c936  69 69      ADC #$69    A:01 X:00 Y:00 P:6d SP:fb CYC:560
c938  30 0b      BMI $c945   A:6b X:00 Y:00 P:2c SP:fb CYC:562
c93a  b0 09      BCS $c945   A:6b X:00 Y:00 P:2c SP:fb CYC:564
c93c  c9 6b      CMP #$6b    A:6b X:00 Y:00 P:2c SP:fb CYC:566
c93e  d0 05      BNE $c945   A:6b X:00 Y:00 P:2f SP:fb CYC:568
c940  70 03      BVS $c945   A:6b X:00 Y:00 P:2f SP:fb CYC:570
c942  4c 49 c9   JMP $c949   A:6b X:00 Y:00 P:2f SP:fb CYC:572
c949  ea         NOP         A:6b X:00 Y:00 P:2f SP:fb CYC:575
c94a  d8         CLD         A:6b X:00 Y:00 P:2f SP:fb CYC:577
c94b  38         SEC         A:6b X:00 Y:00 P:27 SP:fb CYC:579
c94c  b8         CLV         A:6b X:00 Y:00 P:27 SP:fb CYC:581
c94d  a9 7f      LDA #$7f    A:6b X:00 Y:00 P:27 SP:fb CYC:583
c94f  69 7f      ADC #$7f    A:7f X:00 Y:00 P:25 SP:fb CYC:585
c951  10 0b      BPL $c95e   A:ff X:00 Y:00 P:e4 SP:fb CYC:587
c953  b0 09      BCS $c95e   A:ff X:00 Y:00 P:e4 SP:fb CYC:589
c955  c9 ff      CMP #$ff    A:ff X:00 Y:00 P:e4 SP:fb CYC:591
c957  d0 05      BNE $c95e   A:ff X:00 Y:00 P:67 SP:fb CYC:593
c959  50 03      BVC $c95e   A:ff X:00 Y:00 P:67 SP:fb CYC:595
c95b  4c 62 c9   JMP $c962   A:ff X:00 Y:00 P:67 SP:fb CYC:597
c962  ea         NOP         A:ff X:00 Y:00 P:67 SP:fb CYC:600
c963  18         CLC         A:ff X:00 Y:00 P:67 SP:fb CYC:602
c964  24 01      BIT $01     A:ff X:00 Y:00 P:66 SP:fb CYC:604
c966  a9 7f      LDA #$7f    A:ff X:00 Y:00 P:e4 SP:fb CYC:607
c968  69 80      ADC #$80    A:7f X:00 Y:00 P:64 SP:fb CYC:609
c96a  10 0b      BPL $c977   A:ff X:00 Y:00 P:a4 SP:fb CYC:611
c96c  b0 09      BCS $c977   A:ff X:00 Y:00 P:a4 SP:fb CYC:613
c96e  c9 ff      CMP #$ff    A:ff X:00 Y:00 P:a4 SP:fb CYC:615
c970  d0 05      BNE $c977   A:ff X:00 Y:00 P:27 SP:fb CYC:617
c972  70 03      BVS $c977   A:ff X:00 Y:00 P:27 SP:fb CYC:619
c974  4c 7b c9   JMP $c97b   A:ff X:00 Y:00 P:27 SP:fb CYC:621
c97b  ea         NOP         A:ff X:00 Y:00 P:27 SP:fb CYC:624
c97c  38         SEC         A:ff X:00 Y:00 P:27 SP:fb CYC:626
c97d  b8         CLV         A:ff X:00 Y:00 P:27 SP:fb CYC:628
c97e  a9 7f      LDA #$7f    A:ff X:00 Y:00 P:27 SP:fb CYC:630
c980  69 80      ADC #$80    A:7f X:00 Y:00 P:25 SP:fb CYC:632
c982  d0 09      BNE $c98d   A:00 X:00 Y:00 P:27 SP:fb CYC:634
c984  30 07      BMI $c98d   A:00 X:00 Y:00 P:27 SP:fb CYC:636
c986  70 05      BVS $c98d   A:00 X:00 Y:00 P:27 SP:fb CYC:638
c988  90 03      BCC $c98d   A:00 X:00 Y:00 P:27 SP:fb CYC:640
c98a  4c 91 c9   JMP $c991   A:00 X:00 Y:00 P:27 SP:fb CYC:642
c991  ea         NOP         A:00 X:00 Y:00 P:27 SP:fb CYC:645
c992  38         SEC         A:00 X:00 Y:00 P:27 SP:fb CYC:647
c993  b8         CLV         A:00 X:00 Y:00 P:27 SP:fb CYC:649
c994  a9 9f      LDA #$9f    A:00 X:00 Y:00 P:27 SP:fb CYC:651
c996  f0 09      BEQ $c9a1   A:9f X:00 Y:00 P:a5 SP:fb CYC:653
c998  10 07      BPL $c9a1   A:9f X:00 Y:00 P:a5 SP:fb CYC:655
c99a  70 05      BVS $c9a1   A:9f X:00 Y:00 P:a5 SP:fb CYC:657
c99c  90 03      BCC $c9a1   A:9f X:00 Y:00 P:a5 SP:fb CYC:659
c99e  4c a5 c9   JMP $c9a5   A:9f X:00 Y:00 P:a5 SP:fb CYC:661
c9a5  ea         NOP         A:9f X:00 Y:00 P:a5 SP:fb CYC:664
c9a6  18         CLC         A:9f X:00 Y:00 P:a5 SP:fb CYC:666
c9a7  24 01      BIT $01     A:9f X:00 Y:00 P:a4 SP:fb CYC:668
c9a9  a9 00      LDA #$00    A:9f X:00 Y:00 P:e4 SP:fb CYC:671
c9ab  d0 09      BNE $c9b6   A:00 X:00 Y:00 P:66 SP:fb CYC:673
c9ad  30 07      BMI $c9b6   A:00 X:00 Y:00 P:66 SP:fb CYC:675
c9af  50 05      BVC $c9b6   A:00 X:00 Y:00 P:66 SP:fb CYC:677
c9b1  b0 03      BCS $c9b6   A:00 X:00 Y:00 P:66 SP:fb CYC:679
c9b3  4c ba c9   JMP $c9ba   A:00 X:00 Y:00 P:66 SP:fb CYC:681
c9ba  ea         NOP         A:00 X:00 Y:00 P:66 SP:fb CYC:684
c9bb  24 01      BIT $01     A:00 X:00 Y:00 P:66 SP:fb CYC:686
c9bd  a9 40      LDA #$40    A:00 X:00 Y:00 P:e6 SP:fb CYC:689
c9bf  c9 40      CMP #$40    A:40 X:00 Y:00 P:64 SP:fb CYC:691
c9c1  30 09      BMI $c9cc   A:40 X:00 Y:00 P:67 SP:fb CYC:693
c9c3  90 07      BCC $c9cc   A:40 X:00 Y:00 P:67 SP:fb CYC:695
c9c5  d0 05      BNE $c9cc   A:40 X:00 Y:00 P:67 SP:fb CYC:697
c9c7  50 03      BVC $c9cc   A:40 X:00 Y:00 P:67 SP:fb CYC:699
c9c9  4c d0 c9   JMP $c9d0   A:40 X:00 Y:00 P:67 SP:fb CYC:701
c9d0  ea         NOP         A:40 X:00 Y:00 P:67 SP:fb CYC:704
c9d1  b8         CLV         A:40 X:00 Y:00 P:67 SP:fb CYC:706
c9d2  c9 3f      CMP #$3f    A:40 X:00 Y:00 P:27 SP:fb CYC:708
c9d4  f0 09      BEQ $c9df   A:40 X:00 Y:00 P:25 SP:fb CYC:710
c9d6  30 07      BMI $c9df   A:40 X:00 Y:00 P:25 SP:fb CYC:712
c9d8  90 05      BCC $c9df   A:40 X:00 Y:00 P:25 SP:fb CYC:714
c9da  70 03      BVS $c9df   A:40 X:00 Y:00 P:25 SP:fb CYC:716
c9dc  4c e3 c9   JMP $c9e3   A:40 X:00 Y:00 P:25 SP:fb CYC:718
c9e3  ea         NOP         A:40 X:00 Y:00 P:25 SP:fb CYC:721
c9e4  c9 41      CMP #$41    A:40 X:00 Y:00 P:25 SP:fb CYC:723
c9e6  f0 07      BEQ $c9ef   A:40 X:00 Y:00 P:a4 SP:fb CYC:725
c9e8  10 05      BPL $c9ef   A:40 X:00 Y:00 P:a4 SP:fb CYC:727
c9ea  10 03      BPL $c9ef   A:40 X:00 Y:00 P:a4 SP:fb CYC:729
c9ec  4c f3 c9   JMP $c9f3   A:40 X:00 Y:00 P:a4 SP:fb CYC:731
c9f3  ea         NOP         A:40 X:00 Y:00 P:a4 SP:fb CYC:734
c9f4  a9 80      LDA #$80    A:40 X:00 Y:00 P:a4 SP:fb CYC:736
c9f6  c9 00      CMP #$00    A:80 X:00 Y:00 P:a4 SP:fb CYC:738
c9f8  f0 07      BEQ $ca01   A:80 X:00 Y:00 P:a5 SP:fb CYC:740
c9fa  10 05      BPL $ca01   A:80 X:00 Y:00 P:a5 SP:fb CYC:742
c9fc  90 03      BCC $ca01   A:80 X:00 Y:00 P:a5 SP:fb CYC:744
c9fe  4c 05 ca   JMP $ca05   A:80 X:00 Y:00 P:a5 SP:fb CYC:746
ca05  ea         NOP         A:80 X:00 Y:00 P:a5 SP:fb CYC:749
ca06  c9 80      CMP #$80    A:80 X:00 Y:00 P:a5 SP:fb CYC:751
ca08  d0 07      BNE $ca11   A:80 X:00 Y:00 P:27 SP:fb CYC:753
ca0a  30 05      BMI $ca11   A:80 X:00 Y:00 P:27 SP:fb CYC:755
ca0c  90 03      BCC $ca11   A:80 X:00 Y:00 P:27 SP:fb CYC:757
